datum;kennzeichen;produkt;menge;einheit;betrag_eur
16.08.2025;XX-KP 103;Diesel;52,37;l;86,41
16.08.2025;XX-KP 104;Diesel;61,18;l;100,95
16.08.2025;XX-KP 105;Diesel;48,90;l;80,69
17.08.2025;XX-KP 106;Diesel;57,45;l;94,79
17.08.2025;XX-KP 107;Diesel;63,02;l;103,98
17.08.2025;XX-KP 105;Waesche;1;Stk;12,90
18.08.2025;XX-KP 108;Diesel;55,11;l;90,93
18.08.2025;XX-KP 109;Diesel;49,76;l;82,10
19.08.2025;XX-KP 110;Diesel;60,34;l;99,56
19.08.2025;XX-KP 111;Diesel;58,23;l;96,08
20.08.2025;XX-KP 112;Diesel;54,69;l;90,24
20.08.2025;XX-KP 113;Diesel;52,37;l;86,41
20.08.2025;XX-KP 102;AdBlue;50,00;l;45,00
21.08.2025;XX-KP 114;Diesel;61,18;l;100,95
21.08.2025;XX-KP 101;Diesel;48,90;l;80,69
22.08.2025;XX-KP 102;Diesel;57,45;l;94,79
22.08.2025;XX-KP 103;Diesel;63,02;l;103,98
23.08.2025;XX-KP 104;Diesel;72,88;l;120,25
02.09.2025;XX-KP 101;Diesel;52,37;l;86,41
02.09.2025;XX-KP 102;Diesel;61,18;l;100,95
02.09.2025;XX-KP 103;Diesel;48,90;l;80,69
03.09.2025;XX-KP 104;Diesel;57,45;l;94,79
03.09.2025;XX-KP 105;Diesel;63,02;l;103,98
04.09.2025;XX-KP 106;Diesel;55,11;l;90,93
04.09.2025;XX-KP 107;Diesel;49,76;l;82,10
05.09.2025;XX-KP 108;Diesel;60,34;l;99,56
05.09.2025;XX-KP 109;Diesel;58,23;l;96,08
06.09.2025;XX-KP 110;Diesel;54,69;l;90,24
06.09.2025;XX-KP 111;Diesel;52,37;l;86,41
07.09.2025;XX-KP 112;Diesel;61,18;l;100,95
07.09.2025;XX-KP 113;Diesel;48,90;l;80,69
08.09.2025;XX-KP 114;Diesel;57,45;l;94,79
08.09.2025;XX-KP 101;Diesel;63,02;l;103,98
09.09.2025;XX-KP 102;Diesel;55,11;l;90,93
09.09.2025;XX-KP 103;Diesel;49,76;l;82,10
09.09.2025;XX-KP 104;Diesel;60,34;l;99,56
10.09.2025;XX-KP 105;Diesel;58,23;l;96,08
10.09.2025;XX-KP 106;Diesel;54,69;l;90,24
10.09.2025;XX-KP 101;AdBlue;50,00;l;45,00
11.09.2025;XX-KP 107;Diesel;52,37;l;86,41
11.09.2025;XX-KP 108;Diesel;61,18;l;100,95
12.09.2025;XX-KP 109;Diesel;48,90;l;80,69
12.09.2025;XX-KP 110;Diesel;57,45;l;94,79
12.09.2025;XX-KP 104;Waesche;1;Stk;12,90
13.09.2025;XX-KP 111;Diesel;63,02;l;103,98
13.09.2025;XX-KP 112;Diesel;55,11;l;90,93
14.09.2025;XX-KP 113;Diesel;49,76;l;82,10
14.09.2025;XX-KP 114;Diesel;60,34;l;99,56
15.09.2025;XX-KP 101;Diesel;58,23;l;96,08
15.09.2025;XX-KP 102;Diesel;54,69;l;90,24
15.09.2025;XX-KP 106;Shop;1;Stk;8,49
16.09.2025;XX-KP 103;Diesel;52,37;l;86,41
16.09.2025;XX-KP 104;Diesel;61,18;l;100,95
16.09.2025;XX-KP 105;Diesel;48,90;l;80,69
17.09.2025;XX-KP 106;Diesel;57,45;l;94,79
17.09.2025;XX-KP 107;Diesel;63,02;l;103,98
17.09.2025;XX-KP 105;Waesche;1;Stk;12,90
18.09.2025;XX-KP 108;Diesel;55,11;l;90,93
18.09.2025;XX-KP 109;Diesel;49,76;l;82,10
19.09.2025;XX-KP 110;Diesel;60,34;l;99,56
19.09.2025;XX-KP 111;Diesel;58,23;l;96,08
20.09.2025;XX-KP 112;Diesel;54,69;l;90,24
20.09.2025;XX-KP 113;Diesel;52,37;l;86,41
20.09.2025;XX-KP 102;AdBlue;50,00;l;45,00
21.09.2025;XX-KP 114;Diesel;61,18;l;100,95
21.09.2025;XX-KP 101;Diesel;48,90;l;80,69
22.09.2025;XX-KP 102;Diesel;57,45;l;94,79
22.09.2025;XX-KP 103;Diesel;63,02;l;103,98
23.09.2025;XX-KP 104;Diesel;55,11;l;90,93
23.09.2025;XX-KP 105;Diesel;49,76;l;82,10
23.09.2025;XX-KP 106;Diesel;60,34;l;99,56
24.09.2025;XX-KP 107;Diesel;58,23;l;96,08
24.09.2025;XX-KP 108;Diesel;54,69;l;90,24
25.09.2025;XX-KP 109;Diesel;52,37;l;86,41
25.09.2025;XX-KP 110;Diesel;61,18;l;100,95
26.09.2025;XX-KP 111;Diesel;48,90;l;80,69
26.09.2025;XX-KP 112;Diesel;57,45;l;94,79
27.09.2025;XX-KP 113;Diesel;63,02;l;103,98
27.09.2025;XX-KP 114;Diesel;55,11;l;90,93
28.09.2025;XX-KP 101;Diesel;49,76;l;82,10
28.09.2025;XX-KP 102;Diesel;60,34;l;99,56
29.09.2025;XX-KP 103;Diesel;46,62;l;76,92
02.10.2025;XX-KP 101;Diesel;52,37;l;86,41
02.10.2025;XX-KP 102;Diesel;61,18;l;100,95
02.10.2025;XX-KP 103;Diesel;48,90;l;80,69
03.10.2025;XX-KP 104;Diesel;57,45;l;94,79
03.10.2025;XX-KP 105;Diesel;63,02;l;103,98
04.10.2025;XX-KP 106;Diesel;55,11;l;90,93
04.10.2025;XX-KP 107;Diesel;49,76;l;82,10
05.10.2025;XX-KP 108;Diesel;60,34;l;99,56
05.10.2025;XX-KP 109;Diesel;58,23;l;96,08
06.10.2025;XX-KP 110;Diesel;54,69;l;90,24
06.10.2025;XX-KP 111;Diesel;52,37;l;86,41
07.10.2025;XX-KP 112;Diesel;61,18;l;100,95
07.10.2025;XX-KP 113;Diesel;48,90;l;80,69
08.10.2025;XX-KP 114;Diesel;57,45;l;94,79
08.10.2025;XX-KP 101;Diesel;63,02;l;103,98
09.10.2025;XX-KP 102;Diesel;55,11;l;90,93
09.10.2025;XX-KP 103;Diesel;49,76;l;82,10
09.10.2025;XX-KP 104;Diesel;60,34;l;99,56
10.10.2025;XX-KP 105;Diesel;58,23;l;96,08
10.10.2025;XX-KP 106;Diesel;54,69;l;90,24
10.10.2025;XX-KP 101;AdBlue;50,00;l;45,00
11.10.2025;XX-KP 107;Diesel;52,37;l;86,41
11.10.2025;XX-KP 108;Diesel;61,18;l;100,95
12.10.2025;XX-KP 109;Diesel;48,90;l;80,69
12.10.2025;XX-KP 110;Diesel;57,45;l;94,79
12.10.2025;XX-KP 104;Waesche;1;Stk;12,90
13.10.2025;XX-KP 111;Diesel;63,02;l;103,98
13.10.2025;XX-KP 112;Diesel;55,11;l;90,93
14.10.2025;XX-KP 113;Diesel;49,76;l;82,10
14.10.2025;XX-KP 114;Diesel;60,34;l;99,56
15.10.2025;XX-KP 101;Diesel;58,23;l;96,08
15.10.2025;XX-KP 102;Diesel;54,69;l;90,24
15.10.2025;XX-KP 106;Shop;1;Stk;8,49
16.10.2025;XX-KP 103;Diesel;52,37;l;86,41
16.10.2025;XX-KP 104;Diesel;61,18;l;100,95
16.10.2025;XX-KP 105;Diesel;48,90;l;80,69
17.10.2025;XX-KP 106;Diesel;57,45;l;94,79
17.10.2025;XX-KP 107;Diesel;63,02;l;103,98
17.10.2025;XX-KP 105;Waesche;1;Stk;12,90
18.10.2025;XX-KP 108;Diesel;55,11;l;90,93
18.10.2025;XX-KP 109;Diesel;49,76;l;82,10
19.10.2025;XX-KP 110;Diesel;60,34;l;99,56
19.10.2025;XX-KP 111;Diesel;58,23;l;96,08
20.10.2025;XX-KP 112;Diesel;54,69;l;90,24
20.10.2025;XX-KP 113;Diesel;52,37;l;86,41
20.10.2025;XX-KP 102;AdBlue;50,00;l;45,00
21.10.2025;XX-KP 114;Diesel;61,18;l;100,95
21.10.2025;XX-KP 101;Diesel;48,90;l;80,69
22.10.2025;XX-KP 102;Diesel;57,45;l;94,79
22.10.2025;XX-KP 103;Diesel;63,02;l;103,98
23.10.2025;XX-KP 104;Diesel;55,11;l;90,93
23.10.2025;XX-KP 105;Diesel;49,76;l;82,10
23.10.2025;XX-KP 106;Diesel;60,34;l;99,56
24.10.2025;XX-KP 107;Diesel;58,23;l;96,08
24.10.2025;XX-KP 108;Diesel;54,69;l;90,24
25.10.2025;XX-KP 109;Diesel;52,37;l;86,41
25.10.2025;XX-KP 110;Diesel;61,18;l;100,95
26.10.2025;XX-KP 111;Diesel;48,90;l;80,69
26.10.2025;XX-KP 112;Diesel;57,45;l;94,79
27.10.2025;XX-KP 113;Diesel;63,02;l;103,98
27.10.2025;XX-KP 114;Diesel;55,11;l;90,93
28.10.2025;XX-KP 101;Diesel;49,76;l;82,10
28.10.2025;XX-KP 102;Diesel;60,34;l;99,56
29.10.2025;XX-KP 103;Diesel;46,62;l;76,92
02.11.2025;XX-KP 101;Diesel;52,37;l;86,41
02.11.2025;XX-KP 102;Diesel;61,18;l;100,95
02.11.2025;XX-KP 103;Diesel;48,90;l;80,69
03.11.2025;XX-KP 104;Diesel;57,45;l;94,79
03.11.2025;XX-KP 105;Diesel;63,02;l;103,98
04.11.2025;XX-KP 106;Diesel;55,11;l;90,93
04.11.2025;XX-KP 107;Diesel;49,76;l;82,10
05.11.2025;XX-KP 108;Diesel;60,34;l;99,56
05.11.2025;XX-KP 109;Diesel;58,23;l;96,08
06.11.2025;XX-KP 110;Diesel;54,69;l;90,24
06.11.2025;XX-KP 111;Diesel;52,37;l;86,41
07.11.2025;XX-KP 112;Diesel;61,18;l;100,95
07.11.2025;XX-KP 113;Diesel;48,90;l;80,69
08.11.2025;XX-KP 114;Diesel;57,45;l;94,79
08.11.2025;XX-KP 101;Diesel;63,02;l;103,98
09.11.2025;XX-KP 102;Diesel;55,11;l;90,93
09.11.2025;XX-KP 103;Diesel;49,76;l;82,10
09.11.2025;XX-KP 104;Diesel;60,34;l;99,56
10.11.2025;XX-KP 105;Diesel;58,23;l;96,08
10.11.2025;XX-KP 106;Diesel;54,69;l;90,24
10.11.2025;XX-KP 101;AdBlue;50,00;l;45,00
11.11.2025;XX-KP 107;Diesel;52,37;l;86,41
11.11.2025;XX-KP 108;Diesel;61,18;l;100,95
12.11.2025;XX-KP 109;Diesel;48,90;l;80,69
12.11.2025;XX-KP 110;Diesel;57,45;l;94,79
12.11.2025;XX-KP 104;Waesche;1;Stk;12,90
13.11.2025;XX-KP 111;Diesel;63,02;l;103,98
13.11.2025;XX-KP 112;Diesel;55,11;l;90,93
14.11.2025;XX-KP 113;Diesel;49,76;l;82,10
14.11.2025;XX-KP 114;Diesel;60,34;l;99,56
15.11.2025;XX-KP 101;Diesel;58,23;l;96,08
15.11.2025;XX-KP 102;Diesel;54,69;l;90,24
15.11.2025;XX-KP 106;Shop;1;Stk;8,49
16.11.2025;XX-KP 103;Diesel;52,37;l;86,41
16.11.2025;XX-KP 104;Diesel;61,18;l;100,95
16.11.2025;XX-KP 105;Diesel;48,90;l;80,69
17.11.2025;XX-KP 106;Diesel;57,45;l;94,79
17.11.2025;XX-KP 107;Diesel;63,02;l;103,98
17.11.2025;XX-KP 105;Waesche;1;Stk;12,90
18.11.2025;XX-KP 108;Diesel;55,11;l;90,93
18.11.2025;XX-KP 109;Diesel;49,76;l;82,10
19.11.2025;XX-KP 110;Diesel;60,34;l;99,56
19.11.2025;XX-KP 111;Diesel;58,23;l;96,08
20.11.2025;XX-KP 112;Diesel;54,69;l;90,24
20.11.2025;XX-KP 113;Diesel;52,37;l;86,41
20.11.2025;XX-KP 102;AdBlue;50,00;l;45,00
21.11.2025;XX-KP 114;Diesel;61,18;l;100,95
21.11.2025;XX-KP 101;Diesel;48,90;l;80,69
22.11.2025;XX-KP 102;Diesel;57,45;l;94,79
22.11.2025;XX-KP 103;Diesel;63,02;l;103,98
23.11.2025;XX-KP 104;Diesel;55,11;l;90,93
23.11.2025;XX-KP 105;Diesel;49,76;l;82,10
23.11.2025;XX-KP 106;Diesel;60,34;l;99,56
24.11.2025;XX-KP 107;Diesel;58,23;l;96,08
24.11.2025;XX-KP 108;Diesel;54,69;l;90,24
25.11.2025;XX-KP 109;Diesel;52,37;l;86,41
25.11.2025;XX-KP 110;Diesel;61,18;l;100,95
26.11.2025;XX-KP 111;Diesel;48,90;l;80,69
26.11.2025;XX-KP 112;Diesel;57,45;l;94,79
27.11.2025;XX-KP 113;Diesel;63,02;l;103,98
27.11.2025;XX-KP 114;Diesel;55,11;l;90,93
28.11.2025;XX-KP 101;Diesel;49,76;l;82,10
28.11.2025;XX-KP 102;Diesel;60,34;l;99,56
29.11.2025;XX-KP 103;Diesel;46,62;l;76,92
02.12.2025;XX-KP 101;Diesel;52,37;l;86,41
02.12.2025;XX-KP 102;Diesel;61,18;l;100,95
02.12.2025;XX-KP 103;Diesel;48,90;l;80,69
03.12.2025;XX-KP 104;Diesel;57,45;l;94,79
03.12.2025;XX-KP 105;Diesel;63,02;l;103,98
04.12.2025;XX-KP 106;Diesel;55,11;l;90,93
04.12.2025;XX-KP 107;Diesel;49,76;l;82,10
05.12.2025;XX-KP 108;Diesel;60,34;l;99,56
05.12.2025;XX-KP 109;Diesel;58,23;l;96,08
06.12.2025;XX-KP 110;Diesel;54,69;l;90,24
06.12.2025;XX-KP 111;Diesel;52,37;l;86,41
07.12.2025;XX-KP 112;Diesel;61,18;l;100,95
07.12.2025;XX-KP 113;Diesel;48,90;l;80,69
08.12.2025;XX-KP 114;Diesel;57,45;l;94,79
08.12.2025;XX-KP 101;Diesel;63,02;l;103,98
09.12.2025;XX-KP 102;Diesel;55,11;l;90,93
09.12.2025;XX-KP 103;Diesel;49,76;l;82,10
09.12.2025;XX-KP 104;Diesel;60,34;l;99,56
10.12.2025;XX-KP 105;Diesel;58,23;l;96,08
10.12.2025;XX-KP 106;Diesel;54,69;l;90,24
10.12.2025;XX-KP 101;AdBlue;50,00;l;45,00
11.12.2025;XX-KP 107;Diesel;52,37;l;86,41
11.12.2025;XX-KP 108;Diesel;61,18;l;100,95
12.12.2025;XX-KP 109;Diesel;48,90;l;80,69
12.12.2025;XX-KP 110;Diesel;57,45;l;94,79
12.12.2025;XX-KP 104;Waesche;1;Stk;12,90
13.12.2025;XX-KP 111;Diesel;63,02;l;103,98
13.12.2025;XX-KP 112;Diesel;55,11;l;90,93
14.12.2025;XX-KP 113;Diesel;49,76;l;82,10
14.12.2025;XX-KP 114;Diesel;60,34;l;99,56
15.12.2025;XX-KP 101;Diesel;58,23;l;96,08
15.12.2025;XX-KP 102;Diesel;54,69;l;90,24
15.12.2025;XX-KP 106;Shop;1;Stk;8,49
16.12.2025;XX-KP 103;Diesel;52,37;l;86,41
16.12.2025;XX-KP 104;Diesel;61,18;l;100,95
16.12.2025;XX-KP 105;Diesel;48,90;l;80,69
17.12.2025;XX-KP 106;Diesel;57,45;l;94,79
17.12.2025;XX-KP 107;Diesel;63,02;l;103,98
17.12.2025;XX-KP 105;Waesche;1;Stk;12,90
18.12.2025;XX-KP 108;Diesel;55,11;l;90,93
18.12.2025;XX-KP 109;Diesel;49,76;l;82,10
19.12.2025;XX-KP 110;Diesel;60,34;l;99,56
19.12.2025;XX-KP 111;Diesel;58,23;l;96,08
20.12.2025;XX-KP 112;Diesel;54,69;l;90,24
20.12.2025;XX-KP 113;Diesel;52,37;l;86,41
20.12.2025;XX-KP 102;AdBlue;50,00;l;45,00
21.12.2025;XX-KP 114;Diesel;61,18;l;100,95
21.12.2025;XX-KP 101;Diesel;48,90;l;80,69
22.12.2025;XX-KP 102;Diesel;57,45;l;94,79
22.12.2025;XX-KP 103;Diesel;63,02;l;103,98
23.12.2025;XX-KP 104;Diesel;55,11;l;90,93
23.12.2025;XX-KP 105;Diesel;49,76;l;82,10
23.12.2025;XX-KP 106;Diesel;60,34;l;99,56
24.12.2025;XX-KP 107;Diesel;58,23;l;96,08
24.12.2025;XX-KP 108;Diesel;54,69;l;90,24
25.12.2025;XX-KP 109;Diesel;52,37;l;86,41
25.12.2025;XX-KP 110;Diesel;61,18;l;100,95
26.12.2025;XX-KP 111;Diesel;48,90;l;80,69
26.12.2025;XX-KP 112;Diesel;57,45;l;94,79
27.12.2025;XX-KP 113;Diesel;63,02;l;103,98
27.12.2025;XX-KP 114;Diesel;55,11;l;90,93
28.12.2025;XX-KP 101;Diesel;49,76;l;82,10
28.12.2025;XX-KP 102;Diesel;60,34;l;99,56
29.12.2025;XX-KP 103;Diesel;46,62;l;76,92
